Local Site Name,Site ID,POC,Method Code,CBSA Name,State,County,Site Latitude,Site Longitude,Acceptable PM2.5 AQI & Speciation Mass,Carbon monoxide,Lead (TSP) LC,Nitrogen dioxide (NO2),Ozone,PM10 Total 0-10um STP,PM2.5 - Local Conditions,Sulfur dioxide,geometry
Lawrenceville,420030008,2,600.0,"Pittsburgh, PA",Pennsylvania,Allegheny,40.46542033,-79.96075745,X,X,X,X,X,X,X,X,POINT (-79.96075745 40.46542033)
Liberty,420030064,1,600.0,"Pittsburgh, PA",Pennsylvania,Allegheny,40.32376755,-79.8680624,X,,,,,X,X,X,POINT (-79.8680624 40.32376755)
North Braddock,420031301,2,600.0,"Pittsburgh, PA",Pennsylvania,Allegheny,40.40232803,-79.86097318,,X,,,,X,X,X,POINT (-79.86097318 40.40232803)
Harrison,420031008,1,99.0,"Pittsburgh, PA",Pennsylvania,Allegheny,40.6174879,-79.72766396,,,,X,X,,X,,POINT (-79.72766396 40.6174879)
Parkway East Near-Road,420031376,1,599.0,"Pittsburgh, PA",Pennsylvania,Allegheny,40.43743,-79.863572,,X,,X,,,X,,POINT (-79.863572 40.43743)
Avalon,420030002,1,60.0,"Pittsburgh, PA",Pennsylvania,Allegheny,40.50084,-80.066488,,,,,,X,X,X,POINT (-80.066488 40.50084)
South Fayette,420030067,1,60.0,"Pittsburgh, PA",Pennsylvania,Allegheny,40.37564363,-80.16994346,,,,,X,X,X,X,POINT (-80.16994346 40.37564363)
North Park,420030093,1,145.0,"Pittsburgh, PA",Pennsylvania,Allegheny,40.60662374,-80.02166891,,,,,,,X,,POINT (-80.02166891 40.60662374)
Clairton,420033007,1,145.0,"Pittsburgh, PA",Pennsylvania,Allegheny,40.29434056,-79.88533112,,,,,,X,X,,POINT (-79.88533112 40.29434056)
Flag Plaza,420030031,1,554.0,"Pittsburgh, PA",Pennsylvania,Allegheny,40.44336716,-79.99029281,,X,,,,X,,,POINT (-79.99029281 40.44336716)
Manchester,420030092,1,141.0,"Pittsburgh, PA",Pennsylvania,Allegheny,40.45642736,-80.02674049,,,,,,X,,,POINT (-80.02674049 40.45642736)
Glassport,420033006,5,79.0,"Pittsburgh, PA",Pennsylvania,Allegheny,40.32600834,-79.88170278,,,,,,X,,,POINT (-79.88170278 40.32600834)
Lincoln,420037004,5,79.0,"Pittsburgh, PA",Pennsylvania,Allegheny,40.30821946,-79.86913401,,,,,,X,,,POINT (-79.86913401 40.30821946)
Bridgeville,420030070,1,803.0,"Pittsburgh, PA",Pennsylvania,Allegheny,40.363016,-80.102156,,,X,,,,,,POINT (-80.102156 40.363016)
